condition_key,game,tier,session,play_type,picks,wins,win_rate_pct,total_cost,total_return,net,roi_pct,return_per_100_picks,avg_confidence,avg_unique_count,avg_repetition_rate,avg_payout_diversity,avg_max_possible_prize
Cash3|MODERATE|NIGHT|STRAIGHT_BOX,Cash3,MODERATE,NIGHT,STRAIGHT_BOX,4178,55,1.3164,4178.0,18150.0,13972.0,334.4184,434.4184,0.482449,2.5898,0.136734,2.0,330.0
Cash3|VERY_HIGH|NIGHT|STRAIGHT_BOX,Cash3,VERY_HIGH,NIGHT,STRAIGHT_BOX,13897,72,0.5181,13897.0,23760.0,9863.0,70.9722,170.9722,0.830221,2.8242,0.058592,2.0,330.0
Cash3|MODERATE|MIDDAY|STRAIGHT_BOX,Cash3,MODERATE,MIDDAY,STRAIGHT_BOX,1547,57,3.6846,1547.0,2280.0,733.0,47.382,147.382,0.477282,2.5637,0.145428,2.0,330.0
Cash3|MODERATE|EVENING|BOX,Cash3,MODERATE,EVENING,BOX,8723,107,1.2266,8723.0,8560.0,-163.0,-1.8686,98.1314,0.416667,2.7348,0.088378,1.0,80.0
Cash3|LOW|MIDDAY|BOX,Cash3,LOW,MIDDAY,BOX,4975,61,1.2261,4975.0,4880.0,-95.0,-1.9095,98.0905,0.058735,2.968,0.010652,1.0,80.0
Cash3|MODERATE|MIDDAY|BOX,Cash3,MODERATE,MIDDAY,BOX,8885,108,1.2155,8885.0,8640.0,-245.0,-2.7575,97.2425,0.392811,2.5858,0.138047,1.0,80.0
Cash3|MODERATE|NIGHT|BOX,Cash3,MODERATE,NIGHT,BOX,6668,79,1.1848,6668.0,6320.0,-348.0,-5.219,94.781,0.372675,2.7146,0.095124,1.0,80.0
Cash3|HIGH|NIGHT|STRAIGHT_BOX,Cash3,HIGH,NIGHT,STRAIGHT_BOX,31262,196,0.627,31262.0,26110.0,-5152.0,-16.4801,83.5199,0.571684,2.7427,0.085772,2.0,330.0
Cash3|HIGH|MIDDAY|STRAIGHT_BOX,Cash3,HIGH,MIDDAY,STRAIGHT_BOX,35277,112,0.3175,35277.0,23040.0,-12237.0,-34.6883,65.3117,0.596525,2.7136,0.095465,2.0,330.0
Cash4|VERY_HIGH|NIGHT|STRAIGHT_BOX,Cash4,VERY_HIGH,NIGHT,STRAIGHT_BOX,8036,52,0.6471,8036.0,5200.0,-2836.0,-35.2912,64.7088,0.932501,3.6931,0.076717,2.0,2850.0
