date,game,session,winning_numbers,bonus_ball,powerball,megaball,cash_ball
2018-01-01,Cash4Life,Eve,1 1 1 12 31,1.0,,,
2020-01-01,Cash4Life,,49 53 57 59 62,,,,26.0
2020-01-02,Cash4Life,,07 30 39 44 48,,,,4.0
2020-01-03,Cash4Life,,37 41 42 53 63,,,,16.0
2020-01-04,Cash4Life,,04 07 19 26 47,,,,3.0
2020-01-05,Cash4Life,,41 43 45 59 60,,,,4.0
2020-01-06,Cash4Life,,22 32 33 35 43,,,,2.0
2020-01-07,Cash4Life,,25 40 41 52 56,,,,21.0
2020-01-08,Cash4Life,,02 04 07 43 56,,,,22.0
2020-01-09,Cash4Life,,07 17 42 50 51,,,,2.0
2020-01-10,Cash4Life,,01 03 26 27 44,,,,2.0
2020-01-11,Cash4Life,,03 21 23 31 59,,,,3.0
2020-01-12,Cash4Life,,18 23 25 49 51,,,,1.0
2020-01-13,Cash4Life,,07 08 16 20 35,,,,2.0
2020-01-14,Cash4Life,,16 21 28 45 51,,,,4.0
2020-01-15,Cash4Life,,14 16 18 25 46,,,,4.0
2020-01-16,Cash4Life,,01 09 25 38 57,,,,2.0
2020-01-17,Cash4Life,,14 32 37 43 56,,,,1.0
2020-01-18,Cash4Life,,20 24 38 56 68,,,,18.0
2020-01-19,Cash4Life,,19 32 38 51 57,,,,3.0
2020-01-20,Cash4Life,,04 23 54 56 57,,,,4.0
2020-01-21,Cash4Life,,08 15 16 41 55,,,,3.0
2020-01-22,Cash4Life,,02 28 29 45 46,,,,3.0
2020-01-23,Cash4Life,,14 21 24 49 60,,,,3.0
2020-01-24,Cash4Life,,05 13 19 41 57,,,,3.0
2020-01-25,Cash4Life,,02 09 17 36 67,,,,18.0
2020-01-26,Cash4Life,,23 44 48 50 60,,,,2.0
2020-01-27,Cash4Life,,02 19 26 36 55,,,,1.0
2020-01-28,Cash4Life,,04 09 18 20 56,,,,4.0
2020-01-29,Cash4Life,,09 12 15 31 60,,,,2.0
2020-01-30,Cash4Life,,06 11 41 49 58,,,,3.0
2020-01-31,Cash4Life,,28 31 33 57 62,,,,19.0
2020-02-01,Cash4Life,,12 33 54 57 60,,,,13.0
2020-02-02,Cash4Life,,19 22 29 36 60,,,,4.0
2020-02-03,Cash4Life,,08 30 37 58 59,,,,1.0
2020-02-04,Cash4Life,,08 18 20 22 28,,,,4.0
2020-02-05,Cash4Life,,03 15 27 52 54,,,,2.0
2020-02-06,Cash4Life,,04 05 08 25 47,,,,4.0
2020-02-07,Cash4Life,,09 14 27 36 52,,,,4.0
