draw_date,session,winning_number
2022-01-01,Midday,7060
2022-01-01,Evening,2955
2022-01-01,Night,1576
2022-01-02,Midday,4249
2022-01-02,Evening,6988
2022-01-02,Night,9801
2022-01-03,Midday,9573
2022-01-03,Evening,2961
2022-01-03,Night,9811
2022-01-04,Midday,8056
2022-01-04,Evening,7458
2022-01-04,Night,2089
2022-01-05,Midday,5868
2022-01-05,Evening,6320
2022-01-05,Night,3016
2022-01-06,Midday,4870
2022-01-06,Evening,9465
2022-01-06,Night,7555
2022-01-07,Midday,0960
2022-01-07,Evening,7465
2022-01-07,Night,7546
2022-01-08,Midday,6651
2022-01-08,Evening,5483
2022-01-08,Night,7071
2022-01-09,Midday,8503
2022-01-09,Evening,7545
2022-01-09,Night,7426
2022-01-10,Midday,6206
2022-01-10,Evening,1903
2022-01-10,Night,3384
2022-01-11,Midday,0302
2022-01-11,Evening,8595
2022-01-11,Night,3175
2022-01-12,Midday,4723
2022-01-12,Evening,1098
2022-01-12,Night,0820
2022-01-13,Midday,1890
2022-01-13,Evening,8114
2022-01-13,Night,6888
2022-01-14,Midday,4660
2022-01-14,Evening,5749
2022-01-14,Night,0928
2022-01-15,Midday,6499
2022-01-15,Evening,0643
2022-01-15,Night,1721
2022-01-16,Midday,8427
2022-01-16,Evening,4262
2022-01-16,Night,2544
2022-01-17,Midday,3337
2022-01-17,Evening,3967
2022-01-17,Night,9148
2022-01-18,Midday,1360
2022-01-18,Evening,0032
2022-01-18,Night,3449
2022-01-19,Midday,5493
2022-01-19,Evening,0997
2022-01-19,Night,8329
2022-01-20,Midday,0729
2022-01-20,Evening,2963
2022-01-20,Night,3484
2022-01-21,Midday,3872
2022-01-21,Evening,4967
2022-01-21,Night,5745
2022-01-22,Midday,2240
2022-01-22,Evening,7782
2022-01-22,Night,4814
2022-01-23,Midday,2868
2022-01-23,Evening,1803
2022-01-23,Night,6153
2022-01-24,Midday,6300
2022-01-24,Evening,4104
2022-01-24,Night,6219
2022-01-25,Midday,0636
2022-01-25,Evening,6886
2022-01-25,Night,8420
2022-01-26,Midday,6814
2022-01-26,Evening,9440
2022-01-26,Night,7703
2022-01-27,Midday,0669
2022-01-27,Evening,8571
2022-01-27,Night,5499
2022-01-28,Midday,2659
2022-01-28,Evening,5127
2022-01-28,Night,1764
2022-01-29,Midday,6588
2022-01-29,Evening,9993
2022-01-29,Night,6547
2022-01-30,Midday,0079
2022-01-30,Evening,4737
2022-01-30,Night,0598
2022-01-31,Midday,8189
2022-01-31,Evening,1944
2022-01-31,Night,4960
2022-02-01,Midday,3139
2022-02-01,Evening,0027
2022-02-01,Night,8250
2022-02-02,Midday,0336
2022-02-02,Evening,6183
2022-02-02,Night,5744
2022-02-03,Midday,0974
2022-02-03,Evening,7064
2022-02-03,Night,3162
2022-02-04,Midday,0041
2022-02-04,Evening,3161
2022-02-04,Night,4984
2022-02-05,Midday,5194
2022-02-05,Evening,0797
2022-02-05,Night,4799
2022-02-06,Midday,5804
2022-02-06,Evening,2030
2022-02-06,Night,4307
2022-02-07,Midday,5795
2022-02-07,Evening,8205
2022-02-07,Night,8657
2022-02-08,Midday,4540
2022-02-08,Evening,8247
2022-02-08,Night,0395
2022-02-09,Midday,4033
2022-02-09,Evening,5775
2022-02-09,Night,7466
2022-02-10,Midday,3350
2022-02-10,Evening,3473
2022-02-10,Night,4116
2022-02-11,Midday,2042
2022-02-11,Evening,4934
2022-02-11,Night,4269
2022-02-12,Midday,8217
2022-02-12,Evening,9523
2022-02-12,Night,1267
2022-02-13,Midday,3462
2022-02-13,Evening,5506
2022-02-13,Night,3320
2022-02-14,Midday,4484
2022-02-14,Evening,5331
2022-02-14,Night,7178
2022-02-15,Midday,0029
2022-02-15,Evening,0954
2022-02-15,Night,4494
2022-02-16,Midday,4072
2022-02-16,Evening,2761
2022-02-16,Night,6227
2022-02-17,Midday,4911
2022-02-17,Evening,9218
2022-02-17,Night,2112
2022-02-18,Midday,8889
2022-02-18,Evening,4989
2022-02-18,Night,9327
2022-02-19,Midday,4863
2022-02-19,Evening,8011
2022-02-19,Night,5472
2022-02-20,Midday,2509
2022-02-20,Evening,9486
2022-02-20,Night,6463
2022-02-21,Midday,4465
2022-02-21,Evening,8625
2022-02-21,Night,7172
2022-02-22,Midday,1594
2022-02-22,Evening,1054
2022-02-22,Night,7811
2022-02-23,Midday,2491
2022-02-23,Evening,0182
2022-02-23,Night,6274
2022-02-24,Midday,2772
2022-02-24,Evening,8594
2022-02-24,Night,9377
2022-02-25,Midday,6539
2022-02-25,Evening,8571
2022-02-25,Night,0248
2022-02-26,Midday,6276
2022-02-26,Evening,4473
2022-02-26,Night,1882
2022-02-27,Midday,3810
2022-02-27,Evening,8120
2022-02-27,Night,1339
2022-02-28,Midday,0486
2022-02-28,Evening,7681
2022-02-28,Night,1799
2022-03-01,Midday,8032
2022-03-01,Evening,5285
2022-03-01,Night,0917
2022-03-02,Midday,9209
2022-03-02,Evening,7442
2022-03-02,Night,4047
2022-03-03,Midday,6142
2022-03-03,Evening,3170
2022-03-03,Night,6029
2022-03-04,Midday,8318
2022-03-04,Evening,9841
2022-03-04,Night,8359
2022-03-05,Midday,9637
2022-03-05,Evening,3901
2022-03-05,Night,2911
2022-03-06,Midday,3861
2022-03-06,Evening,6706
2022-03-06,Night,4803
2022-03-07,Midday,0417
2022-03-07,Evening,6452
2022-03-07,Night,0227
2022-03-08,Midday,7705
2022-03-08,Evening,4349
2022-03-08,Night,3284
2022-03-09,Midday,7168
2022-03-09,Evening,6296
2022-03-09,Night,9557
2022-03-10,Midday,2662
2022-03-10,Evening,3495
2022-03-10,Night,2783
2022-03-11,Midday,9470
2022-03-11,Evening,2911
2022-03-11,Night,7901
2022-03-12,Midday,5203
2022-03-12,Evening,3472
2022-03-12,Night,5868
2022-03-13,Midday,7936
2022-03-13,Evening,9287
2022-03-13,Night,5494
2022-03-14,Midday,5836
2022-03-14,Evening,6173
2022-03-14,Night,7907
2022-03-15,Midday,8131
2022-03-15,Evening,5072
2022-03-15,Night,9778
2022-03-16,Midday,3710
2022-03-16,Evening,6470
2022-03-16,Night,3113
2022-03-17,Midday,4719
2022-03-17,Evening,8089
2022-03-17,Night,0880
2022-03-18,Midday,4294
2022-03-18,Evening,0584
2022-03-18,Night,2878
2022-03-19,Midday,6082
2022-03-19,Evening,5098
2022-03-19,Night,4910
2022-03-20,Midday,5299
2022-03-20,Evening,7382
2022-03-20,Night,4678
2022-03-21,Midday,9202
2022-03-21,Evening,7628
2022-03-21,Night,5269
2022-03-22,Midday,8140
2022-03-22,Evening,9381
2022-03-22,Night,4584
2022-03-23,Midday,9737
2022-03-23,Evening,1971
2022-03-23,Night,4175
2022-03-24,Midday,6218
2022-03-24,Evening,1280
2022-03-24,Night,6977
2022-03-25,Midday,7165
2022-03-25,Evening,6181
2022-03-25,Night,8975
2022-03-26,Midday,1331
2022-03-26,Evening,0868
2022-03-26,Night,5673
2022-03-27,Midday,7387
2022-03-27,Evening,4645
2022-03-27,Night,2021
2022-03-28,Midday,3690
2022-03-28,Evening,0767
2022-03-28,Night,1226
2022-03-29,Midday,2874
2022-03-29,Evening,0287
2022-03-29,Night,8318
2022-03-30,Midday,9089
2022-03-30,Evening,3668
2022-03-30,Night,2860
2022-03-31,Midday,6031
2022-03-31,Evening,4267
2022-03-31,Night,0453
2022-04-01,Midday,8749
2022-04-01,Evening,7315
2022-04-01,Night,4355
2022-04-02,Midday,4018
2022-04-02,Evening,7207
2022-04-02,Night,1963
2022-04-03,Midday,2732
2022-04-03,Evening,6894
2022-04-03,Night,0990
2022-04-04,Midday,7696
2022-04-04,Evening,1244
2022-04-04,Night,9366
2022-04-05,Midday,6344
2022-04-05,Evening,0700
2022-04-05,Night,5867
2022-04-06,Midday,9892
2022-04-06,Evening,9656
2022-04-06,Night,9697
2022-04-07,Midday,2403
2022-04-07,Evening,9616
2022-04-07,Night,0928
2022-04-08,Midday,8029
2022-04-08,Evening,3003
2022-04-08,Night,6896
2022-04-09,Midday,0292
2022-04-09,Evening,6987
2022-04-09,Night,9692
2022-04-10,Midday,5993
2022-04-10,Evening,7677
2022-04-10,Night,1876
2022-04-11,Midday,4079
2022-04-11,Evening,4299
2022-04-11,Night,3079
2022-04-12,Midday,4419
2022-04-12,Evening,8873
2022-04-12,Night,1846
2022-04-13,Midday,1586
2022-04-13,Evening,9830
2022-04-13,Night,4885
2022-04-14,Midday,5979
2022-04-14,Evening,3698
2022-04-14,Night,6448
2022-04-15,Midday,1104
2022-04-15,Evening,9888
2022-04-15,Night,7131
2022-04-16,Midday,9855
2022-04-16,Evening,6578
2022-04-16,Night,4556
2022-04-17,Midday,2777
2022-04-17,Evening,5015
2022-04-17,Night,1288
2022-04-18,Midday,9204
2022-04-18,Evening,4611
2022-04-18,Night,5655
2022-04-19,Midday,7671
2022-04-19,Evening,7786
2022-04-19,Night,6787
2022-04-20,Midday,4487
2022-04-20,Evening,0926
2022-04-20,Night,6144
2022-04-21,Midday,0940
2022-04-21,Evening,0194
2022-04-21,Night,4181
2022-04-22,Midday,9536
2022-04-22,Evening,3406
2022-04-22,Night,3881
2022-04-23,Midday,1355
2022-04-23,Evening,5884
2022-04-23,Night,6196
2022-04-24,Midday,7984
2022-04-24,Evening,5213
2022-04-24,Night,7284
2022-04-25,Midday,8216
2022-04-25,Evening,0187
2022-04-25,Night,5414
2022-04-26,Midday,4917
2022-04-26,Evening,6601
2022-04-26,Night,3672
2022-04-27,Midday,0748
2022-04-27,Evening,3749
2022-04-27,Night,1550
2022-04-28,Midday,6780
2022-04-28,Evening,5479
2022-04-28,Night,9051
2022-04-29,Midday,5443
2022-04-29,Evening,4518
2022-04-29,Night,5008
2022-04-30,Midday,1646
2022-04-30,Evening,9813
2022-04-30,Night,4435
2022-05-01,Midday,7717
2022-05-01,Evening,7931
2022-05-01,Night,7153
2022-05-02,Midday,6592
2022-05-02,Evening,0124
2022-05-02,Night,5882
2022-05-03,Midday,9143
2022-05-03,Evening,7576
2022-05-03,Night,8764
2022-05-04,Midday,7403
2022-05-04,Evening,4435
2022-05-04,Night,1182
2022-05-05,Midday,9155
2022-05-05,Evening,5536
2022-05-05,Night,7726
2022-05-06,Midday,7691
2022-05-06,Evening,9833
2022-05-06,Night,0936
2022-05-07,Midday,2360
2022-05-07,Evening,1096
2022-05-07,Night,4675
2022-05-08,Midday,6937
2022-05-08,Evening,2433
2022-05-08,Night,9187
2022-05-09,Midday,7638
2022-05-09,Evening,5968
