date,game,session,winning_numbers,bonus_ball,powerball,megaball
2005-01-04,Powerball,Eve,1 4 3 6 7,12.0,,
2005-01-07,Powerball,Eve,1 7 2 8 14,15.0,,
2005-01-25,Powerball,Eve,1 25 2 10 21,25.0,,
2005-02-08,Powerball,Eve,2 8 8 11 14,23.0,,
2005-02-11,Powerball,Eve,2 11 6 14 21,24.0,,
2005-02-15,Powerball,Eve,2 15 3 16 20,21.0,,
2005-03-08,Powerball,Eve,3 8 8 14 15,22.0,,
2005-07-29,Powerball,Eve,7 29 4 16 23,25.0,,
2005-08-16,Powerball,Eve,8 16 9 15 20,24.0,,
2005-08-23,Powerball,Eve,8 23 6 7 8,13.0,,
2005-10-14,Powerball,Eve,10 14 6 20 24,25.0,,
2005-11-08,Powerball,Eve,11 8 8 16 21,25.0,,
2005-12-13,Powerball,Eve,12 13 9 10 12,22.0,,
2006-01-27,Powerball,Eve,1 27 2 7 8,18.0,,
2006-02-24,Powerball,Eve,2 24 3 5 12,16.0,,
2006-06-09,Powerball,Eve,6 9 8 17 18,26.0,,
2006-06-13,Powerball,Eve,6 13 1 20 23,24.0,,
2006-08-08,Powerball,Eve,8 8 1 5 13,18.0,,
2006-08-22,Powerball,Eve,8 22 3 4 5,7.0,,
2006-09-22,Powerball,Eve,9 22 7 12 17,22.0,,
2006-10-06,Powerball,Eve,10 6 1 11 20,21.0,,
2006-11-03,Powerball,Eve,11 3 8 10 22,25.0,,
2006-11-14,Powerball,Eve,11 14 9 20 24,25.0,,
2006-12-22,Powerball,Eve,12 22 5 12 15,25.0,,
2007-01-23,Powerball,Eve,1 23 3 5 15,26.0,,
2007-04-10,Powerball,Eve,4 10 7 15 16,19.0,,
2007-04-13,Powerball,Eve,4 13 11 14 21,25.0,,
2007-04-20,Powerball,Eve,4 20 1 9 10,23.0,,
2007-05-22,Powerball,Eve,5 22 2 7 11,22.0,,
2007-06-15,Powerball,Eve,6 15 1 5 16,26.0,,
2007-06-22,Powerball,Eve,6 22 11 14 21,24.0,,
2007-07-06,Powerball,Eve,7 6 3 9 12,25.0,,
2007-07-24,Powerball,Eve,7 24 8 17 20,23.0,,
2007-08-14,Powerball,Eve,8 14 5 8 9,24.0,,
2007-09-11,Powerball,Eve,9 11 9 10 17,21.0,,
2007-09-28,Powerball,Eve,9 28 4 13 20,25.0,,
2007-10-19,Powerball,Eve,10 19 5 15 18,23.0,,
2007-11-30,Powerball,Eve,11 30 5 6 12,26.0,,
2007-12-14,Powerball,Eve,12 14 4 7 12,17.0,,
2008-01-22,Powerball,Eve,1 22 12 15 22,25.0,,
2008-02-22,Powerball,Eve,2 22 7 12 13,19.0,,
2008-02-29,Powerball,Eve,2 29 5 17 22,26.0,,
2008-03-14,Powerball,Eve,3 14 3 12 18,25.0,,
2008-03-18,Powerball,Eve,3 18 13 15 20,25.0,,
2008-03-21,Powerball,Eve,3 21 5 8 17,19.0,,
2008-05-23,Powerball,Eve,5 23 4 8 11,22.0,,
2008-07-04,Powerball,Eve,7 4 1 3 12,19.0,,
2008-08-01,Powerball,Eve,8 1 9 13 17,18.0,,
2008-08-19,Powerball,Eve,8 19 9 18 19,26.0,,
2008-09-12,Powerball,Eve,9 12 1 12 14,25.0,,
2009-01-02,Powerball,Eve,1 2 2 11 19,21.0,,
2009-01-06,Powerball,Eve,1 6 3 11 12,19.0,,
2009-01-27,Powerball,Eve,1 27 3 11 12,14.0,,
2009-04-07,Powerball,Eve,4 7 2 4 13,17.0,,
2009-05-12,Powerball,Eve,5 12 4 8 10,14.0,,
2009-05-19,Powerball,Eve,5 19 2 4 9,15.0,,
2009-06-16,Powerball,Eve,6 16 9 15 21,26.0,,
2009-06-19,Powerball,Eve,6 19 4 9 12,16.0,,
2009-07-03,Powerball,Eve,7 3 5 6 7,11.0,,
2009-07-28,Powerball,Eve,7 28 4 17 24,25.0,,
2009-08-25,Powerball,Eve,8 25 3 12 19,22.0,,
2009-09-04,Powerball,Eve,9 4 2 4 6,21.0,,
2009-10-09,Powerball,Eve,10 9 3 14 21,24.0,,
2009-11-20,Powerball,Eve,11 20 3 4 7,16.0,,
2010-01-15,Powerball,Eve,1 15 4 7 19,21.0,,
2010-01-29,Powerball,Eve,1 29 1 10 22,23.0,,
2010-02-09,Powerball,Eve,2 9 2 17 20,26.0,,
