draw_date,session,digits,digit_value,is_triple,days_since_last_triple,days_since_same_triple,day_of_week,day_name,month,month_name,quarter,week_of_year,previous_draw,next_draw
1993-09-18,EVENING,666,6,True,,,5,Saturday,9,September,3,37,,444
1994-01-26,EVENING,444,4,True,130,,2,Wednesday,1,January,1,4,666,777
1994-02-18,EVENING,777,7,True,23,,4,Friday,2,February,1,7,444,888
1994-04-02,EVENING,888,8,True,43,,5,Saturday,4,April,2,13,777,666
1994-07-16,EVENING,666,6,True,105,301,5,Saturday,7,July,3,28,888,555
1994-08-23,EVENING,555,5,True,38,,1,Tuesday,8,August,3,34,666,666
1994-09-15,EVENING,666,6,True,23,61,3,Thursday,9,September,3,37,555,444
1994-11-17,EVENING,444,4,True,63,295,3,Thursday,11,November,4,46,666,999
1995-04-09,EVENING,999,9,True,143,,6,Sunday,4,April,2,14,444,555
1995-10-26,EVENING,555,5,True,200,429,3,Thursday,10,October,4,43,999,999
1996-03-07,EVENING,999,9,True,133,333,3,Thursday,3,March,1,10,555,888
1996-03-08,EVENING,888,8,True,1,706,4,Friday,3,March,1,10,999,888
1996-06-08,EVENING,888,8,True,92,92,5,Saturday,6,June,2,23,888,444
1996-07-06,EVENING,444,4,True,28,597,5,Saturday,7,July,3,27,888,444
1996-09-22,EVENING,444,4,True,78,78,6,Sunday,9,September,3,38,444,999
1997-01-07,EVENING,999,9,True,107,306,1,Tuesday,1,January,1,2,444,222
1997-01-08,EVENING,222,2,True,1,,2,Wednesday,1,January,1,2,999,888
1997-02-13,EVENING,888,8,True,36,250,3,Thursday,2,February,1,7,222,111
1997-04-18,EVENING,111,1,True,64,,4,Friday,4,April,2,16,888,222
1997-08-06,EVENING,222,2,True,110,210,2,Wednesday,8,August,3,32,111,444
1997-12-26,EVENING,444,4,True,142,460,4,Friday,12,December,4,52,222,555
1998-01-16,EVENING,555,5,True,21,813,4,Friday,1,January,1,3,444,333
1998-02-20,EVENING,333,3,True,35,,4,Friday,2,February,1,8,555,888
1998-02-27,EVENING,888,8,True,7,379,4,Friday,2,February,1,9,333,222
1998-03-20,EVENING,222,2,True,21,226,4,Friday,3,March,1,12,888,111
1998-04-07,EVENING,111,1,True,18,354,1,Tuesday,4,April,2,15,222,444
1998-06-23,EVENING,444,4,True,77,179,1,Tuesday,6,June,2,26,111,444
1998-07-11,EVENING,444,4,True,18,18,5,Saturday,7,July,3,28,444,666
1998-12-12,EVENING,666,6,True,154,1549,5,Saturday,12,December,4,50,444,888
1999-01-30,EVENING,888,8,True,49,337,5,Saturday,1,January,1,4,666,000
1999-02-05,EVENING,000,0,True,6,,4,Friday,2,February,1,5,888,666
1999-03-06,EVENING,666,6,True,29,84,5,Saturday,3,March,1,9,000,666
1999-04-30,EVENING,666,6,True,55,55,4,Friday,4,April,2,17,666,777
1999-05-19,EVENING,777,7,True,19,1916,2,Wednesday,5,May,2,20,666,444
1999-06-25,EVENING,444,4,True,37,349,4,Friday,6,June,2,25,777,888
1999-07-17,EVENING,888,8,True,22,168,5,Saturday,7,July,3,28,444,888
1999-08-24,EVENING,888,8,True,38,38,1,Tuesday,8,August,3,34,888,777
1999-10-19,EVENING,777,7,True,56,153,1,Tuesday,10,October,4,42,888,888
1999-11-08,EVENING,888,8,True,20,76,0,Monday,11,November,4,45,777,777
2000-01-02,EVENING,777,7,True,55,75,6,Sunday,1,January,1,52,888,555
2000-01-05,EVENING,555,5,True,3,719,2,Wednesday,1,January,1,1,777,222
2000-11-18,EVENING,222,2,True,318,974,5,Saturday,11,November,4,46,555,444
2001-04-22,EVENING,444,4,True,155,667,6,Sunday,4,April,2,16,222,888
2001-09-11,EVENING,888,8,True,142,673,1,Tuesday,9,September,3,37,444,555
2002-02-19,EVENING,555,5,True,161,776,1,Tuesday,2,February,1,8,888,444
2002-04-17,EVENING,444,4,True,57,360,2,Wednesday,4,April,2,16,555,666
2002-05-17,EVENING,666,6,True,30,1113,4,Friday,5,May,2,20,444,000
