draw_date,session,digits,digit_value,is_quad,days_since_last_quad,days_since_same_quad,day_of_week,day_name,month,month_name,quarter,week_of_year,previous_draw,next_draw
1997-01-08,EVENING,2222,2,True,,,2,Wednesday,1,January,1,2,,2222
1997-08-06,EVENING,2222,2,True,210,210,2,Wednesday,8,August,3,32,2222,3333
1998-02-20,EVENING,3333,3,True,198,,4,Friday,2,February,1,8,2222,2222
1998-03-20,EVENING,2222,2,True,28,226,4,Friday,3,March,1,12,3333,1111
1998-04-07,EVENING,1111,1,True,18,,1,Tuesday,4,April,2,15,2222,7777
2000-01-02,EVENING,7777,7,True,635,,6,Sunday,1,January,1,52,1111,2222
2000-11-18,EVENING,2222,2,True,321,974,5,Saturday,11,November,4,46,7777,4444
2001-04-22,EVENING,4444,4,True,155,,6,Sunday,4,April,2,16,2222,5555
2002-02-19,EVENING,5555,5,True,303,,1,Tuesday,2,February,1,8,4444,6666
2003-01-19,EVENING,6666,6,True,334,,6,Sunday,1,January,1,3,5555,0000
2003-05-02,MIDDAY,0000,0,True,103,,4,Friday,5,May,2,18,6666,2222
2003-07-01,MIDDAY,2222,2,True,60,955,1,Tuesday,7,July,3,27,0000,3333
2003-10-11,EVENING,3333,3,True,102,2059,5,Saturday,10,October,4,41,2222,8888
2003-10-13,EVENING,8888,8,True,2,,0,Monday,10,October,4,42,3333,6666
2004-04-18,EVENING,6666,6,True,188,455,6,Sunday,4,April,2,16,8888,6666
2004-09-21,MIDDAY,6666,6,True,156,156,1,Tuesday,9,September,3,39,6666,2222
2005-06-27,EVENING,2222,2,True,279,727,0,Monday,6,June,2,26,6666,7777
2005-11-11,EVENING,7777,7,True,137,2140,4,Friday,11,November,4,45,2222,1111
2005-12-13,MIDDAY,1111,1,True,32,2807,1,Tuesday,12,December,4,50,7777,1111
2006-05-17,EVENING,1111,1,True,155,155,2,Wednesday,5,May,2,20,1111,3333
2006-07-31,MIDDAY,3333,3,True,75,1024,0,Monday,7,July,3,31,1111,2222
2009-10-30,MIDDAY,2222,2,True,1187,1586,4,Friday,10,October,4,44,3333,6666
2010-05-19,EVENING,6666,6,True,201,2066,2,Wednesday,5,May,2,20,2222,8888
2011-07-05,EVENING,8888,8,True,412,2822,1,Tuesday,7,July,3,27,6666,7777
2012-10-24,EVENING,7777,7,True,477,2539,2,Wednesday,10,October,4,43,8888,5555
2013-04-16,MIDDAY,5555,5,True,174,4074,1,Tuesday,4,April,2,16,7777,1111
2013-11-16,MIDDAY,1111,1,True,214,2740,5,Saturday,11,November,4,46,5555,1111
2014-05-23,MIDDAY,1111,1,True,188,188,4,Friday,5,May,2,21,1111,6666
2014-07-07,MIDDAY,6666,6,True,45,1510,0,Monday,7,July,3,28,1111,6666
2017-05-15,EVENING,6666,6,True,1043,1043,0,Monday,5,May,2,20,6666,5555
2017-12-06,MIDDAY,5555,5,True,205,1695,2,Wednesday,12,December,4,49,6666,5555
2018-01-25,EVENING,5555,5,True,50,50,3,Thursday,1,January,1,4,5555,4444
2018-06-08,MIDDAY,4444,4,True,134,6256,4,Friday,6,June,2,23,5555,7777
2018-06-09,EVENING,7777,7,True,1,2054,5,Saturday,6,June,2,23,4444,8888
2018-06-13,MIDDAY,8888,8,True,4,2535,2,Wednesday,6,June,2,24,7777,6666
2018-09-12,EVENING,6666,6,True,91,485,2,Wednesday,9,September,3,37,8888,6666
2019-10-13,MIDDAY,6666,6,True,396,396,6,Sunday,10,October,4,41,6666,8888
2020-02-08,EVENING,8888,8,True,118,605,5,Saturday,2,February,1,6,6666,0000
2020-08-31,NIGHT,0000,0,True,205,6331,0,Monday,8,August,3,36,8888,3333
2021-03-13,MIDDAY,3333,3,True,194,5339,5,Saturday,3,March,1,10,0000,6666
2021-06-09,EVENING,6666,6,True,88,605,2,Wednesday,6,June,2,23,3333,1111
2022-07-14,MIDDAY,1111,1,True,400,2974,3,Thursday,7,July,3,28,6666,9999
2023-01-17,EVENING,9999,9,True,187,,1,Tuesday,1,January,1,3,1111,6666
2023-06-03,NIGHT,6666,6,True,137,724,5,Saturday,6,June,2,22,9999,5555
2024-06-17,NIGHT,5555,5,True,380,2335,0,Monday,6,June,2,25,6666,7777
2024-11-12,NIGHT,7777,7,True,148,2348,1,Tuesday,11,November,4,46,5555,1111
2025-01-13,MIDDAY,1111,1,True,62,914,0,Monday,1,January,1,3,7777,9999
2025-05-28,MIDDAY,9999,9,True,135,862,2,Wednesday,5,May,2,22,1111,9999
2025-09-07,EVENING,9999,9,True,102,102,6,Sunday,9,September,3,36,9999,
